NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
central flat with view,IT,Italy,45.43256915,12.33728464,Entire home/apt,3,1,2,1,$109.00 
Apartment Surian - Venice 8 People,IT,Italy,45.43463729,12.33950428,Entire home/apt,8,2,3,2,$270.00 
"Ca' Remer, fantastic Grand Canal views",IT,Italy,45.43615259,12.33325293,Entire home/apt,4,2,2,2,$380.00 
Venice San Marco Square with terrace and Balcony,IT,Italy,45.43747658,12.33752903,Entire home/apt,6,2,2,2,$236.00 
Charming apartment in San Marco,IT,Italy,45.43489108,12.33781308,Entire home/apt,2,1,1,2,$170.00 
SAN MARCO MOONLIGHT ATTIC,IT,Italy,45.43316775,12.33036161,Entire home/apt,2,1,1,1,$130.00 
Assassini,IT,Italy,45.43548693,12.3329652,Entire home/apt,6,2,3,5,$170.00 
Central flat in a typical Venice,IT,Italy,45.43686886,12.33627071,Entire home/apt,4,1,2,4,$49.00 
Angel's view house in San Marco,IT,Italy,45.43250787,12.33682513,Entire home/apt,6,3,3,3,$250.00 
cozy studio very central with wifi,IT,Italy,45.43363222,12.32881771,Entire home/apt,2,1,0,1,$100.00 
Appartamento La Fenice,IT,Italy,45.43560586,12.33136916,Entire home/apt,3,1,2,4,$120.00 
AltanaAlbaChiara BestViewOfVenice,IT,Italy,45.43738713,12.33609595,Entire home/apt,4,2,2,2,$150.00 
"Stylish and 100 meter from San Marco square, sleeps 7",IT,Italy,45.43548837,12.33664955,Entire home/apt,7,2,3,5,$230.00 
Luxury apartment in PiazzaSan Marco,IT,Italy,45.43411759,12.3358695,Entire home/apt,5,1,3,5,$200.00 
Theater Apartament,IT,Italy,45.43637019,12.3374989,Entire home/apt,5,1,1,3,$90.00 
70STEPS! FROM ST. MARK'S CATHEDRAL,IT,Italy,45.43448668,12.33986078,Entire home/apt,4,2,2,2,$100.00 
Centralissimo Ca' Sant' Angelo,IT,Italy,45.43304317,12.33355081,Entire home/apt,5,1,2,3,$270.00 
The Academy shared room,IT,Italy,45.43418925,12.32881906,Shared room,1,2,1,4,$45.00 
Elena's home No1-1,IT,Italy,45.43238276,12.33104597,Shared room,3,1,1,3,$85.00 
Cute dorm room in the heart of Venice,IT,Italy,45.43204179,12.33238333,Shared room,5,1,1,5,$36.00 
Charming Apart San Marco with canal views AB,IT,Italy,45.43415236,12.33567771,Entire home/apt,6,3,3,4,$660.00 
Apartment Bovolo - Venice 12 People,IT,Italy,45.43350266,12.33516152,Entire home/apt,12,5,5,6,$515.00 
CA'LOMBARDO SAN MARCO VENICE CENTER,IT,Italy,45.43512103,12.33797121,Entire home/apt,4,2,1,1,$130.00 
Charming San Marco with Canal views,IT,Italy,45.43331293,12.33379174,Entire home/apt,4,2,2,3,$340.00 
Apartment Pisani Venice 4 People,IT,Italy,45.43443454,12.33541466,Entire home/apt,4,1,1,1,$187.00 
Apartment Rubino - Venice 4 People,IT,Italy,45.43353436,12.33698723,Entire home/apt,4,2,1,2,$170.00 
appartamento casa vacanze Ca'Sole,IT,Italy,45.43258975,12.33390879,Entire home/apt,11,2,4,4,$300.00 
Bilocale vista giardino,IT,Italy,45.4347913,12.33285063,Entire home/apt,3,1,1,3,$225.00 
Ca' Rossini 1 Apartment,IT,Italy,45.43572197,12.33181886,Entire home/apt,4,2,2,4,$275.00 
Studio Apartment Al Bovolo,IT,Italy,45.4363481,12.33432964,Entire home/apt,2,1,0,1,$95.00 
"Suite Palazzo del Giglio, San Marco",IT,Italy,45.43222739,12.33400655,Entire home/apt,5,1,1,3,$300.00 
Ca' Del Teatro,IT,Italy,45.43320941,12.33059208,Entire home/apt,6,3,3,4,$490.00 
Marzarie,IT,Italy,45.435466,12.33897111,Entire home/apt,3,1,2,2,$160.00 
6 bed apartment,IT,Italy,45.43242163,12.33432598,Entire home/apt,6,2,2,5,$280.00 
Apartment Concert - Venice 5 People,IT,Italy,45.4334864,12.3374088,Entire home/apt,5,1,2,3,$265.00 
Giglio Cu Appartamento,IT,Italy,45.43187538,12.33319085,Entire home/apt,4,1,1,3,$250.00 
Sunrise (San Marco),IT,Italy,45.43292832,12.33512359,Entire home/apt,4,2,1,2,$220.00 
Junior Suite al Palazzo del Giglio,IT,Italy,45.43291379,12.33254497,Entire home/apt,4,1,1,3,$120.00 
"CA' MIANI, San Marco, Accademia",IT,Italy,45.4334103,12.32914659,Entire home/apt,7,2,3,4,$120.00 
Large apartment&terrace in S.Marco,IT,Italy,45.4323288,12.32972196,Entire home/apt,8,2,4,6,$295.00 
Petit Ca' Garí_on,IT,Italy,45.43476774,12.32846065,Entire home/apt,3,2,2,2,$220.00 
The Academy Dorm Rooms,IT,Italy,45.43430228,12.3289967,Shared room,1,2,1,5,$39.00 
"CA' ZETTA, íæ San Marco",IT,Italy,45.4346155,12.33050602,Entire home/apt,5,2,2,3,$140.00 
Stefano F3,IT,Italy,45.43291659,12.32938602,Entire home/apt,4,1,2,3,$178.00 
Your Suite behind St. Mark's Square,IT,Italy,45.43329894,12.33533363,Entire home/apt,4,1,1,1,$120.00 
Central top apartment with view ,IT,Italy,45.43569241,12.33680523,Entire home/apt,4,1.5,2,2,$120.00 
VENICE APARTMENT BIENNALE,IT,Italy,45.43372195,12.33465013,Entire home/apt,5,2,2,5,$140.00 
St.Mark's Square apartment,IT,Italy,45.43608169,12.33880696,Entire home/apt,2,1,1,1,$100.00 
Ca' Colombina,IT,Italy,45.43502836,12.33744409,Entire home/apt,10,2,4,6,$280.00 
ELEGANT and QUIET in SAN MARCO,IT,Italy,45.43430491,12.32893105,Entire home/apt,6,3,2,6,$140.00 
Stefano F2,IT,Italy,45.43469408,12.33140141,Entire home/apt,4,1,1,2,$157.00 
"Panoramic flat with terrace, in heart of San Marco",IT,Italy,45.43469729,12.33713354,Entire home/apt,4,1,2,2,$130.00 
casa dac,IT,Italy,45.43216417,12.32957699,Entire home/apt,2,1,1,1,$150.00 
Romantic room,IT,Italy,45.43320551,12.3296282,Private room,2,1,1,2,$87.00 
Appartamento 201,IT,Italy,45.43252945,12.33292036,Entire home/apt,4,1,1,4,$180.00 
On the roofs of Venice / Top floor,IT,Italy,45.43839574,12.3365712,Entire home/apt,2,1,1,1,$136.00 
Bright &comfortable in top location,IT,Italy,45.43266571,12.32867205,Entire home/apt,5,1,2,4,$160.00 
"FENICE: 2 DOUBLE BEDRMS, 2 BATHRMS",IT,Italy,45.43327016,12.33060513,Entire home/apt,4,2,2,3,$89.00 
San Marco CRADLE for couples!,IT,Italy,45.43187565,12.3321853,Entire home/apt,2,1,1,1,$99.00 
Ca' San Samuele,IT,Italy,45.43442584,12.33060747,Entire home/apt,4,2,2,4,$160.00 
Apartment Tiziano Venice 5 people,IT,Italy,45.43324218,12.33718301,Entire home/apt,5,1,2,2,$179.00 
apartment Laura Rialto ,IT,Italy,45.43788145,12.33745696,Entire home/apt,2,1,1,1,$110.00 
Ca' Grassi 2 Apartment,IT,Italy,45.43452143,12.32930696,Entire home/apt,4,1,1,2,$203.00 
San Marco romantic dream,IT,Italy,45.43307953,12.33103823,Entire home/apt,4,2,2,2,$100.00 
"Residenza Manin, New Flat Venice",IT,Italy,45.43459358,12.3341002,Entire home/apt,6,3,3,6,$489.00 
High View apartment,IT,Italy,45.43538271,12.33237974,Entire home/apt,4,1,1,2,$130.00 
SAN BARTOLOMIO - Only a 50 meters to Rialto bridge,IT,Italy,45.43754829,12.33639376,Entire home/apt,4,1,2,3,$165.00 
TOWER SUITE SAN MARCO,IT,Italy,45.43531277,12.33590125,Entire home/apt,4,2,2,2,$101.00 
a stone's throw to St.Markwith WiFi,IT,Italy,45.43481707,12.3364798,Entire home/apt,4,1,1,1,$120.00 
APPARTAMENTO SAN MARCO CON TERRAZZA,IT,Italy,45.43249842,12.33600155,Entire home/apt,6,2,3,3,$400.00 
Leon 1014,IT,Italy,45.43475686,12.3371797,Entire home/apt,5,2,2,4,$250.00 
Holiday large apartment with jacuzzi in the center,IT,Italy,45.4323599,12.3303197,Entire home/apt,6,2,2,4,$210.00 
"IN THE HEART OF VENICE, COMFORTABLE Apt. 6 PERS.",IT,Italy,45.43463941,12.32944209,Entire home/apt,6,2,2,4,$220.00 
"Elegant, contemporary, canal view",IT,Italy,45.43373883,12.33497695,Entire home/apt,4,2,1,4,$150.00 
"Appartamento "" Casa Jazz"" con altane e terrazzino",IT,Italy,45.43392622,12.32976512,Entire home/apt,2,1,1,1,$150.00 
"2 min only of St. Mark's Square,Wifi, Comfort, A/C",IT,Italy,45.43603622,12.33893986,Entire home/apt,4,1,2,4,$179.00 
Authentic Venetian Palace center,IT,Italy,45.43765899,12.33722168,Entire home/apt,6,2,2,4,$150.00 
HD Apartment I,IT,Italy,45.43470552,12.32944565,Entire home/apt,4,1,2,5,$175.00 
