NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Angolo Romano b&b Vaticano M.Cipro,IT,Italy,41.90905388,12.44511406,Private room,4,1,1,3,$110.00 
BLUE DOUBLE ROOM WITH TERRACE,IT,Italy,41.90984731,12.44760972,Private room,2,1,1,1,$70.00 
Enchanting Apartment in Trastevere,IT,Italy,41.88823715,12.46898681,Entire home/apt,5,1,2,4,$100.00 
ARTIST'S STUDIO IN THE HEART OF ROM,IT,Italy,41.90891141,12.4739551,Private room,2,1,1,1,$60.00 
Nanda Holiday House in Trastevere !,IT,Italy,41.89055167,12.46923172,Entire home/apt,4,1,1,2,$110.00 
CASA CENTRO STORICO VICINO COLOSSEO,IT,Italy,41.88429488,12.49989949,Entire home/apt,5,1,2,5,$70.00 
Cosy central apt with a balcony,IT,Italy,41.8911291,12.50259544,Entire home/apt,3,1,1,2,$69.00 
Awesome terrace San Giovanni,IT,Italy,41.89128865,12.50856269,Entire home/apt,3,1,1,1,$79.00 
Room near the Vatican city,IT,Italy,41.90973688,12.44498165,Private room,2,1,1,1,$59.00 
Colosseo Home Domitilla,IT,Italy,41.8914146,12.5001081,Entire home/apt,5,1,2,3,$99.00 
"Navona, Typical Apartment",IT,Italy,41.89893077,12.4663606,Entire home/apt,4,1,1,2,$107.00 
Loft with Pool in Trastevere 2,IT,Italy,41.89028536,12.46785083,Entire home/apt,2,1,1,2,$140.00 
Modern and private at Colosseum,IT,Italy,41.88913742,12.49628334,Entire home/apt,2,1,1,1,$65.00 
Camille suite kingzize bed with balcony.,IT,Italy,41.90611331,12.49353508,Private room,2,1,1,1,$113.00 
BlueRoom,IT,Italy,41.90340525,12.44577577,Private room,4,1,1,4,$50.00 
[46538] Vatican NickS Home Vatican,IT,Italy,41.91012111,12.45228027,Entire home/apt,4,1,2,4,$99.00 
Triple comfortable room private,IT,Italy,41.90200655,12.49474993,Private room,3,1,1,3,$135.00 
Casa del Tridente3,IT,Italy,41.90350446,12.4748071,Entire home/apt,3,2,2,2,$200.00 
ROMA CENTRO â‚¬ 100 notte ,IT,Italy,41.91444882,12.45321244,Entire home/apt,4,1,3,4,$100.00 
B&B view balcony S. Giovanni Church,IT,Italy,41.8880353,12.50739997,Private room,4,1,1,2,$120.00 
"Room 4 ""New Guest House Roma""B&B",IT,Italy,41.8868866,12.50867077,Private room,2,1,1,1,$53.00 
Luxury Flat with Jacuzzi and Turkish Bath,IT,Italy,41.91072008,12.45340714,Entire home/apt,5,2,2,3,$110.00 
"""Room Giuseppe"" -  B&B Casa Sotgiu",IT,Italy,41.9125604,12.46982221,Private room,2,1,1,1,$80.00 
COLOSSEO - LINA'S COZY HOME,IT,Italy,41.89075287,12.50329915,Entire home/apt,4,1,2,1,$60.00 
Cavallini Apartment,IT,Italy,41.90623666,12.47322707,Entire home/apt,8,2,3,4,$100.00 
"Cozy room for 2, close to metro A and Colosseum",IT,Italy,41.89048623,12.5146597,Private room,2,2,1,1,$39.00 
Domus Laurae Suite Egeria con Vista,IT,Italy,41.88851257,12.5065179,Private room,2,1,1,1,$100.00 
BLAM HOLIDAY - ALICE HOUSE - ROOM 1,IT,Italy,41.88835081,12.51375429,Private room,3,1,1,1,$54.00 
Angolo Romano b&b Vaticano M.Cipro,IT,Italy,41.90790317,12.44439676,Private room,3,1,1,3,$95.00 
Chic House Apartment - San Pietro,IT,Italy,41.90988963,12.446728,Entire home/apt,8,2,2,4,$78.00 
In the heart of Trastevere 10,IT,Italy,41.88979535,12.4682811,Entire home/apt,2,1,0,1,$60.00 
Cosy room in central apartment,IT,Italy,41.87483439,12.48775111,Private room,2,1,1,1,$50.00 
Appartamento in zona Prati,IT,Italy,41.91076607,12.4524144,Entire home/apt,5,1,2,5,$70.00 
Navona Terrace,IT,Italy,41.89950472,12.46736283,Entire home/apt,6,2,2,5,$145.00 
Teresa e Dario's Home,IT,Italy,41.89223977,12.50697096,Private room,2,1,1,2,$20.00 
Central Ancient Vatican House,IT,Italy,41.9125917,12.45348847,Entire home/apt,5,1,2,5,$80.00 
Camera singola Prati/Cipro,IT,Italy,41.90407578,12.44589528,Private room,1,2,1,1,$20.00 
"Domus Ripetta B&B, center of Rome",IT,Italy,41.91002014,12.47596751,Private room,2,1,1,1,$80.00 
Luxury in the Vatican City,IT,Italy,41.90762422,12.44423811,Private room,2,1,1,1,$60.00 
La Dolce Vita Trastevere,IT,Italy,41.88717575,12.46819237,Entire home/apt,3,1,1,2,$50.00 
Trastevere porta portese market,IT,Italy,41.87747921,12.47123854,Entire home/apt,2,2,2,2,$90.00 
AUDREY ROOMS...Suite Crystal...,IT,Italy,41.90682479,12.44540974,Private room,2,1,1,1,$50.00 
Casa Vacanze Scala Santa Roma,IT,Italy,41.88815037,12.50715458,Entire home/apt,2,1,2,2,$56.00 
Centro di Roma,IT,Italy,41.88684221,12.4690156,Entire home/apt,4,1,2,4,$120.00 
Matrimoniale-Vaticano Metro Lepanto,IT,Italy,41.91266459,12.46814991,Private room,2,1,1,1,$100.00 
Roma Trastevere,IT,Italy,41.88954959,12.47413192,Entire home/apt,4,1,1,2,$59.00 
Matrimoniale alla fermata Lepanto,IT,Italy,41.91251187,12.46848416,Private room,2,1,1,1,$65.00 
"""Room Sotgiu"" - Luxury Room Vatican",IT,Italy,41.9125141,12.46862454,Private room,2,1,1,1,$130.00 
Comfort Double room,IT,Italy,41.90194596,12.49448639,Private room,2,1,1,1,$170.00 
Dome at home - La cupola a casa,IT,Italy,41.90805793,12.44974564,Entire home/apt,5,1,2,4,$100.00 
Appartamento a pochi minuti da San Pietro,IT,Italy,41.91284757,12.44812237,Entire home/apt,4,1,1,2,$50.00 
Trastevere 360,IT,Italy,41.88969758,12.47167599,Entire home/apt,4,2,1,2,$119.00 
"Alloggiare, nel centro di Roma",IT,Italy,41.90501225,12.46877692,Entire home/apt,4,2,2,2,$170.00 
"Maison Romana, appt w/terrace Rome",IT,Italy,41.89170016,12.51118133,Entire home/apt,4,1,1,1,$70.00 
NAZIONALE PALACE ELEGANT - Trevi F.,IT,Italy,41.90283496,12.49481028,Entire home/apt,4,2,1,3,$130.00 
NEW! Navona one bedroom apartment B,IT,Italy,41.89963524,12.46796803,Entire home/apt,2,1,1,2,$121.00 
Cool & Cosy 1bed flat in the heart of Trastevere!,IT,Italy,41.8866492,12.470285,Entire home/apt,4,2,1,2,$70.00 
Cozy & Sweet apartment Colosseum,IT,Italy,41.89058681,12.50782918,Entire home/apt,9,2,2,9,$132.00 
Luxury apartment in the city center,IT,Italy,41.90148278,12.48981932,Entire home/apt,2,1,0,1,$120.00 
House Maximo at Colosseum,IT,Italy,41.8882032,12.50931538,Entire home/apt,5,1,3,5,$99.00 
Luxury Apartment at Colosseum,IT,Italy,41.89060652,12.50162643,Entire home/apt,8,4,3,5,$160.00 
La perla del Colosseo,IT,Italy,41.89019606,12.49676535,Entire home/apt,3,1,1,2,$60.00 
"Central soppalco loft,Spanish steps",IT,Italy,41.90425426,12.48958846,Entire home/apt,2,1,1,1,$80.00 
Giulia 2: 5 mins from Castel Sant'Angelo,IT,Italy,41.89839417,12.4665346,Entire home/apt,5,1,1,3,$97.00 
"Testaccio, perfect position for explore Rome",IT,Italy,41.88070766,12.47405435,Entire home/apt,3,1,1,2,$60.00 
Testaccio in historic building,IT,Italy,41.88108043,12.47509024,Entire home/apt,6,1,3,6,$58.00 
Best apartment near Vatican,IT,Italy,41.91450693,12.45349416,Entire home/apt,4,1,1,3,$62.00 
Lucky Domus Merulana,IT,Italy,41.88971254,12.50246225,Entire home/apt,8,1,2,4,$65.00 
Sole Luxury Trevi Fountain,IT,Italy,41.90409635,12.49071225,Entire home/apt,6,1,2,3,$86.00 
