NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Studio in Amsterdam 15 min from center,NL,Netherlands,52.31892464,4.978956258,Entire home/apt,2,1,1,1,$50.00 
Nice house near Ajax Arena Stadion,NL,Netherlands,52.32261005,4.964285937,Private room,2,1,1,1,$50.00 
Cosy Studio/Apartment AMSTERDAM - Free parking,NL,Netherlands,52.31956588,4.977610504,Entire home/apt,2,1,1,1,$75.00 
Nice room in A'dam SE near nature and heart centre,NL,Netherlands,52.3173057,4.987757014,Private room,2,1,1,1,$43.00 
Basic apartment near City Center,NL,Netherlands,52.32494724,4.97052057,Entire home/apt,2,1,1,1,$60.00 
big bedroom with view on the park and water,NL,Netherlands,52.32126715,4.988348803,Private room,3,1,1,3,$50.00 
Amazing Beautiful Romantic Fully Equipped House...,NL,Netherlands,52.32296952,4.982348076,Entire home/apt,2,1,1,1,$99.00 
staying in green surroundings,NL,Netherlands,52.32093768,4.987733661,Private room,3,1,1,1,$40.00 
Spacious With A Beautiful View,NL,Netherlands,52.32161855,4.978271405,Entire home/apt,5,0.5,2,3,$109.00 
Exclusive luxury apartment with facilities,NL,Netherlands,52.32318424,4.974249803,Entire home/apt,4,1,2,2,$129.00 
Room in Amsterdam in a new house!! Free Bicycle,NL,Netherlands,52.32727036,4.967351995,Private room,2,1,1,1,$33.00 
House on waterfront,NL,Netherlands,52.32698144,4.98294891,Entire home/apt,5,1.5,3,5,$150.00 
Wonderful room near metro&Center 1,NL,Netherlands,52.31818748,4.977977946,Private room,3,1,1,2,$59.00 
Nice and cozy apartment,NL,Netherlands,52.31852508,4.968910562,Entire home/apt,2,1,1,1,$60.00 
Cosy Apartment + Wifi,NL,Netherlands,52.32319028,4.972298406,Entire home/apt,6,1,1,3,$250.00 
"Luxe room in AÂ´dam,15 mn to Town, be welcome..",NL,Netherlands,52.31671072,4.986617637,Private room,2,1,1,1,$44.00 
compact ingericht studio voor 4 personen,NL,Netherlands,52.32709608,4.97913667,Private room,1,1,1,2,$100.00 
"Lots of light, big space!",NL,Netherlands,52.32555022,4.963022344,Private room,2,1,1,2,$75.00 
"Big, sunny spacious house",NL,Netherlands,52.3248418,4.982480159,Entire home/apt,4,1,2,4,$120.00 
"Modern, light, spectacular view. Free Parking",NL,Netherlands,52.31809157,4.966191266,Entire home/apt,4,1.5,2,2,$135.00 
Spacious & Furnished appartment,NL,Netherlands,52.3202215,4.983093684,Entire home/apt,4,1,1,2,$65.00 
Nice room Amsterdam Zuid-oost,NL,Netherlands,52.31212386,4.978035652,Private room,2,1,1,1,$50.00 
Great Apartment for families,NL,Netherlands,52.3144349,4.982350865,Entire home/apt,4,1,2,2,$110.00 
Spacious room in the vibrant area of Amsterdam,NL,Netherlands,52.32043448,4.964132668,Private room,3,1.5,1,1,$50.00 
New and cozy apartment in amsterdam,NL,Netherlands,52.3189448,4.980928689,Entire home/apt,4,1,3,3,$150.00 
New and stylish big apartment in Amsterdam,NL,Netherlands,52.31948395,4.97997808,Entire home/apt,4,1,3,4,$150.00 
Romantic Garden House & free bikes ,NL,Netherlands,52.38418718,4.962456477,Entire home/apt,5,1,2,5,$75.00 
*Beautiful *lakeside*family-house  ,NL,Netherlands,52.4143045,5.027688954,Entire home/apt,6,2,3,6,$190.00 
Spacious and beautiful home.,NL,Netherlands,52.39678883,4.958670598,Entire home/apt,6,1,4,3,$195.00 
Double bedroom in a shared apartment,NL,Netherlands,52.39932517,4.951362318,Private room,2,1,1,1,$65.00 
Baanakkerspark amsterdam,NL,Netherlands,52.39621125,4.945447656,Entire home/apt,4,1,2,2,$175.00 
Lovely house +garden +free parking!,NL,Netherlands,52.39477052,4.931712598,Entire home/apt,4,1,3,3,$150.00 
House with view on the river!,NL,Netherlands,52.38727196,4.956628003,Entire home/apt,6,2,4,4,$255.00 
Your own apartment on wheels,NL,Netherlands,52.39580577,4.992438641,Private room,4,1,1,4,$74.00 
Super locatie,NL,Netherlands,52.40150662,4.937348673,Entire home/apt,3,1,1,2,$145.00 
Blauwepolder Grutto,NL,Netherlands,52.41077189,4.961169805,Private room,2,1,0,2,$85.00 
Little House close to Amsterdam,NL,Netherlands,52.39735771,5.004451413,Entire home/apt,2,1,2,3,$89.00 
Family House nearby city centre,NL,Netherlands,52.40774818,4.933144006,Entire home/apt,4,1,3,4,$200.00 
Calm and Comfortable Room in Amsterdam Noord,NL,Netherlands,52.39537038,4.949078702,Private room,2,1.5,1,1,$70.00 
Amazing apartment in Amsterdam,NL,Netherlands,52.39803573,4.943270554,Entire home/apt,2,1,1,1,$75.00 
Your double apartment on wheels,NL,Netherlands,52.41121373,4.947321392,Private room,4,1,1,4,$72.00 
Amsterdam Countryside. Family house,NL,Netherlands,52.4075768,4.964702083,Entire home/apt,5,1,4,4,$75.00 
Cottage in country side Amsterdam,NL,Netherlands,52.41079265,4.961213564,Private room,4,1,2,3,$90.00 
Sunny family home 10 minutes from citycentre,NL,Netherlands,52.39448404,4.9303435,Entire home/apt,4,1,3,3,$144.00 
Boat house just outside Amsterdam,NL,Netherlands,52.37590166,4.976176669,Entire home/apt,5,1,4,4,$220.00 
Prachtig appartement Amsterdam Noord,NL,Netherlands,52.39391933,4.95531578,Entire home/apt,4,1,2,2,$85.00 
Family house (170m2) with garden,NL,Netherlands,52.38990188,4.957005684,Private room,4,2,1,2,$149.00 
Your own birdsnest on wheels,NL,Netherlands,52.41324445,4.94615286,Private room,2,1,1,2,$72.00 
Spacious dyke house in hip North + free parking,NL,Netherlands,52.39678507,4.924355498,Entire home/apt,6,1,3,3,$175.00 
Family dike house with great view,NL,Netherlands,52.38606916,4.957696522,Entire home/apt,4,2,2,3,$150.00 
Nature & the city @ your fingertips,NL,Netherlands,52.40697347,4.932381892,Entire home/apt,7,1.5,4,4,$120.00 
Cosy room & free breakfast+parking+bikes,NL,Netherlands,52.39182307,4.951707979,Private room,2,1,1,1,$66.00 
Amsterdam Noord,NL,Netherlands,52.40493542,4.928441705,Private room,2,1.5,1,1,$69.00 
Lovely FAMILY house in quiet street,NL,Netherlands,52.40692567,4.932043914,Entire home/apt,4,1,4,3,$152.00 
Rustic cottage in Amsterdam with free parking,NL,Netherlands,52.3933498,4.994649343,Entire home/apt,3,1,2,2,$75.00 
Great family villa in hip north part of Amsterdam,NL,Netherlands,52.3964488,4.951159685,Entire home/apt,4,1,4,4,$90.00 
Family house in Dutch countryside near A'dam,NL,Netherlands,52.40692382,4.966551212,Entire home/apt,6,1,4,4,$125.00 
Your nice waggon at the cows paradise,NL,Netherlands,52.40693528,4.99159039,Private room,4,1,2,3,$70.00 
Spacious Room near to the Center,NL,Netherlands,52.39905541,4.941274586,Private room,2,1,1,1,$57.00 
Gypsy Waggon - A villa on wheels,NL,Netherlands,52.41307767,4.946082904,Private room,6,1,2,6,$99.00 
Lovely family house private parking,NL,Netherlands,52.38779472,4.957843841,Entire home/apt,4,1.5,4,3,$99.00 
Amsterdam Noord... the hip side of the city,NL,Netherlands,52.40675794,4.929601186,Private room,4,1.5,1,2,$49.00 
gerenoveerd woonschip-tjalk (1908),NL,Netherlands,52.3817751,4.965553701,Entire home/apt,4,1,3,4,$109.00 
Cozy Studio 10min to AMS central,NL,Netherlands,52.39466862,4.946580031,Entire home/apt,3,1,0,1,$150.00 
Simple room with double bed,NL,Netherlands,52.39825249,4.928608989,Private room,2,1,1,1,$53.00 
Cosy B&B in 'rural Amsterdam',NL,Netherlands,52.42128325,5.002262411,Entire home/apt,2,1,1,2,$80.00 
Your own cottage in the countryside,NL,Netherlands,52.40991542,4.962910612,Private room,2,1,1,1,$78.00 
"Cosy House Boat, well located",NL,Netherlands,52.37701146,4.978152707,Entire home/apt,2,1,0,2,$81.00 
3 ROOMappartement @ Buikslotermeerplein North,NL,Netherlands,52.39771821,4.942374125,Entire home/apt,2,1,2,2,$80.00 
Your cozy cottage in the countryside,NL,Netherlands,52.41045715,4.96308681,Private room,2,1,1,1,$78.00 
Family-friendly freestanding dykehouse Amsterdam,NL,Netherlands,52.385162,4.957860838,Entire home/apt,4,1.5,2,4,$175.00 
Familyfriendly Suite incl breakfast,NL,Netherlands,52.39549794,4.995761025,Private room,4,1,1,2,$120.00 
Charming dikehouse A'dam North (2 kayaks/1 boat),NL,Netherlands,52.38655095,4.955695705,Entire home/apt,4,1,2,4,$125.00 
Your cottage in the countryside ,NL,Netherlands,52.40921273,4.964782359,Private room,2,1,1,1,$78.00 
