NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
City Centre Location Dublin,IE,Ireland,53.33966433,-6.266263484,Entire home/apt,2,1,1,1,$105.00 
Studio in Ballsbridge,IE,Ireland,53.33451009,-6.238266717,Entire home/apt,2,1,0,1,$450.00 
Beautiful House on the Grand Canal,IE,Ireland,53.32858239,-6.264440012,Entire home/apt,4,1,2,2,$300.00 
Perfect for a Dublin city break!,IE,Ireland,53.32989025,-6.272583703,Entire home/apt,2,1,0,1,$55.00 
Terraced house in the heart of Dublin's Inner City,IE,Ireland,53.33683202,-6.279480572,Entire home/apt,4,1,2,4,$110.00 
Donnybrook.RDS Conventions!,IE,Ireland,53.32138067,-6.244339454,Entire home/apt,4,2,2,2,$184.00 
"Lovely 2 bedroom City Apartment, Great Location.",IE,Ireland,53.34123624,-6.275421619,Entire home/apt,4,2,2,2,$120.00 
City Centre  - 2 Bed Apartment,IE,Ireland,53.352606,-6.262874322,Entire home/apt,7,1,2,7,$220.00 
Victorian Terraced City Home,IE,Ireland,53.33570303,-6.271531082,Entire home/apt,4,1,2,3,$149.00 
"Cow's Lane Temple Bar, Homely Apt",IE,Ireland,53.34404349,-6.269073514,Entire home/apt,4,1,1,2,$100.00 
TEMPLEBAR | DUBLIN CITY WALL |  CITY CENTRE,IE,Ireland,53.34461101,-6.267856464,Entire home/apt,6,1,2,4,$130.00 
Luxury in Dublin`s Silicon Valley,IE,Ireland,53.34441927,-6.234681984,Entire home/apt,4,2,2,2,$300.00 
Heart of City - Prestigious Area!,IE,Ireland,53.34208712,-6.239969952,Entire home/apt,6,2,2,4,$300.00 
"arty, collector, vintage rooms",IE,Ireland,53.34597755,-6.262187155,Entire home/apt,4,1,2,3,$100.00 
Spacious 2 Bedroom City Centre Apartment,IE,Ireland,53.35370589,-6.259328907,Entire home/apt,7,1,2,4,$127.00 
Grand Canal Square Area,IE,Ireland,53.34216887,-6.23604357,Entire home/apt,3,2,2,2,$150.00 
Bright apartment Dublin City Center,IE,Ireland,53.34663203,-6.2633287,Entire home/apt,2,1,1,1,$96.00 
entire flat on the heart of Dublin city center,IE,Ireland,53.35169146,-6.253950813,Entire home/apt,5,1,2,3,$130.00 
